Verb_Lemma,No_of_Senses,"Verb_Lemma,No_of_Senses,Used_Sense_IDs"
अनुभवणे,2,"अनुभवणे,2,""['17567']"""
अभ्यासणे,2,"अभ्यासणे,2,""['11727']"""
असणे,9,"असणे,9,""['10794', '10876', '28203']"""
आकर्षणे,1,"आकर्षणे,1,""['4693']"""
आकारणे,1,"आकारणे,1,""['54276']"""
आणणे,4,"आणणे,4,""['10824']"""
आरंभणे,2,"आरंभणे,2,""['4704']"""
आले,0,"आले,0,""['12189', '6094']"""
आलेला,0,"आलेला,0,""['6094']"""
आवडणे,2,"आवडणे,2,""['10987', '2468']"""
उघड,0,"उघड,0,""['12233']"""
उघडणे,10,"उघडणे,10,""['12234', '12241']"""
उभारणे,2,"उभारणे,2,""['12197', '53274']"""
उरणे,1,"उरणे,1,""['6436']"""
ऊन,0,"ऊन,0,""['13060']"""
ओढणे,4,"ओढणे,4,""['4693']"""
करणे,15,"करणे,15,""['3295', '4115']"""
कळणे,4,"कळणे,4,""['8221']"""
काढणे,33,"काढणे,33,""['11318', '11485', '11853', '11854', '11933', '13059', '13062', '4736']"""
खाणणे,1,"खाणणे,1,""['4655']"""
खाणे,4,"खाणे,4,""['4655']"""
खेळणे,4,"खेळणे,4,""['4716']"""
गडबडणे,1,"गडबडणे,1,""['53064']"""
गण,0,"गण,0,""['53082']"""
गाणे,2,"गाणे,2,""['236']"""
गुंफणे,2,"गुंफणे,2,""['10735']"""
घालणे,7,"घालणे,7,""['10844', '25411', '3939']"""
घुसणे,4,"घुसणे,4,""['11872']"""
चकाकणे,2,"चकाकणे,2,""['5152']"""
चढणे,12,"चढणे,12,""['23653']"""
चालणे,18,"चालणे,18,""['11837', '52953', '5367', '54559']"""
चालवणे,8,"चालवणे,8,""['1472', '26857']"""
चावणे,6,"चावणे,6,""['4332']"""
छेदणे,2,"छेदणे,2,""['53701']"""
जगणे,1,"जगणे,1,""['3476']"""
जमणे,7,"जमणे,7,""['53719', '5497', '7660']"""
जळणे,6,"जळणे,6,""['53742', '7577']"""
जाणे,18,"जाणे,18,""['10788', '11873', '11943', '12512', '3438', '3986', '4743']"""
जाळणे,1,"जाळणे,1,""['53781']"""
जेवणे,1,"जेवणे,1,""['13868']"""
झाकणे,3,"झाकणे,3,""['8956']"""
झालाणे,0,"झालाणे,0,""['27694', '4918']"""
टाकणे,11,"टाकणे,11,""['10844', '53356']"""
टाळणे,2,"टाळणे,2,""['11509', '5712']"""
टिकणे,4,"टिकणे,4,""['11836']"""
ठरवणे,6,"ठरवणे,6,""['12230', '12681']"""
ठेवणे,13,"ठेवणे,13,""['11107', '11184', '11597', '19107', '5137', '5712', '9192']"""
त,0,"त,0,""['12822']"""
तुटणे,4,"तुटणे,4,""['10860', '12516']"""
थकवणे,1,"थकवणे,1,""['9063']"""
थाटणे,0,"थाटणे,0,""['51710']"""
दरवळणे,1,"दरवळणे,1,""['9754']"""
दाखवणे,10,"दाखवणे,10,""['12740', '12741', '23781', '6160', '7106']"""
धरणे,6,"धरणे,6,""['52217']"""
नटणे,1,"नटणे,1,""['10143']"""
नसणे,1,"नसणे,1,""['54629']"""
नाह,0,"नाह,0,""['6399']"""
निवडणे,5,"निवडणे,5,""['12023']"""
निवारणे,1,"निवारणे,1,""['10310']"""
नेणे,3,"नेणे,3,""['53944']"""
नोंद,0,"नोंद,0,""['8070']"""
नोंदवणे,2,"नोंदवणे,2,""['8070']"""
पकडणे,5,"पकडणे,5,""['12024']"""
पडणे,17,"पडणे,17,""['10790', '12504', '13099']"""
पर,0,"पर,0,""['20102']"""
परणे,0,"परणे,0,""['6094', '9537']"""
पाठ,0,"पाठ,0,""['7453']"""
पाठवणे,3,"पाठवणे,3,""['7453']"""
पालटणे,2,"पालटणे,2,""['7121']"""
पाहणे,9,"पाहणे,9,""['19099', '19100', '19101', '19104', '6229']"""
पिणे,2,"पिणे,2,""['6855']"""
पुरणे,2,"पुरणे,2,""['20148']"""
पोचवणे,3,"पोचवणे,3,""['7452']"""
पोहणे,1,"पोहणे,1,""['9046']"""
प्रवेशणे,1,"प्रवेशणे,1,""['3438']"""
फिरणे,6,"फिरणे,6,""['5067', '5070']"""
बघणे,9,"बघणे,9,""['19100', '19101', '6229']"""
बचावणे,1,"बचावणे,1,""['11508']"""
बदलणे,4,"बदलणे,4,""['7121']"""
बसणे,6,"बसणे,6,""['18626', '2917']"""
बसवणे,6,"बसवणे,6,""['18625', '6589', '7880']"""
बांधणे,10,"बांधणे,10,""['12197']"""
बुडणे,5,"बुडणे,5,""['2970']"""
बोलणे,10,"बोलणे,10,""['12683', '13376']"""
भरणे,11,"भरणे,11,""['12992']"""
भासणे,1,"भासणे,1,""['11581']"""
भिणे,3,"भिणे,3,""['5032']"""
भेटणे,5,"भेटणे,5,""['7664']"""
म,0,"म,0,""['12437']"""
माग,0,"माग,0,""['7578']"""
मानणे,5,"मानणे,5,""['12439']"""
मिरचीणे,0,"मिरचीणे,0,""['9800']"""
मिळ,0,"मिळ,0,""['11511', '11515', '11876', '11884', '4098', '52944', '7663', '7669']"""
मिळवणे,4,"मिळवणे,4,""['11511', '4098', '52944']"""
